composer,composition_id,perf_id,structure,structure_correct
Beethoven,1218,7184,AABCBDE,AABBC
Beethoven,1218,7185,AABCBDE,AABBC
Beethoven,1218,7186,AABCBDE,AABBC
Beethoven,1218,7187,ABDE,AABBC
Beethoven,1218,7188,ABDE,AABBC
Beethoven,1218,7189,ABDE,AABBC
Beethoven,1218,7190,ABDE,AABBC
Beethoven,1218,7191,AABCBDE,AABBC
Beethoven,1218,7192,AABCBDE,AABBC
Beethoven,1218,7193,ABDE,AABBC
Beethoven,1218,7194,AABCBDE,AABBC
Beethoven,1218,7195,AABCBDE,AABBC
Beethoven,1218,7196,AABCBDE,AABBC
Beethoven,1218,7197,AABCBDE,AABBC
Beethoven,1218,7198,AABCBDE,AABBC
Beethoven,1218,7199,AABCBDE,AABBC
Beethoven,1218,7200,AABCBDE,AABBC
Beethoven,1218,7201,AABCBDE,AABBC
Beethoven,1218,7202,ABDE,AABBC
Beethoven,1218,7203,AABCBDE,AABBC
Beethoven,1218,7204,ABDE,AABBC
Beethoven,1218,7205,AABCBDE,AABBC
Beethoven,1218,7206,AABCBDE,AABBC
Beethoven,1218,7207,AABCBDE,AABBC
Beethoven,1218,7208,AABDE,AABBC
Beethoven,1218,7209,AABCBDE,AABBC
Beethoven,1218,7210,ABDE,AABBC
Beethoven,1218,7211,AABCBDE,AABBC
Beethoven,1218,7212,AABCBDE,AABBC
