composer,composition_id,perf_id,structure,structure_correct,annotate
Beethoven,1213,6996,ABCBDE,AAB
Beethoven,1213,6997,ABCBDE,AAB
Beethoven,1213,6998,ABCBDE,AAB
Beethoven,1213,6999,ABCBDE,AAB
Beethoven,1213,7000,ABDE,AAB
Beethoven,1213,7001,ABDE,AAB
Beethoven,1213,7002,ABCBDE,AAB
Beethoven,1213,7003,ABDE,AB
Beethoven,1213,7004,ABCBDE,AAB
Beethoven,1213,7005,ABCBDE,AAB
Beethoven,1213,7006,ABDE,AAB
Beethoven,1213,7007,ABDE,AB
Beethoven,1213,7008,ABDE,ABXYZ,contains a wrong excerpt after ending of the first movement
Beethoven,1213,7009,ABDE,AB
Beethoven,1213,7010,ABCBDE,AAB
Beethoven,1213,7011,ABCBDE,AAB
Beethoven,1213,7012,ABCBDE,AAB
Beethoven,1213,7013,ABCBDE,AAB
Beethoven,1213,7014,ABCBDE,AAB
Beethoven,1213,7015,ABCBDE,AAB
Beethoven,1213,7016,ABCBDE,AAB
Beethoven,1213,7017,ABCBDE,AAB
Beethoven,1213,7018,ABDE,AAB
Beethoven,1213,7019,ABCBDE,AAB
Beethoven,1213,7020,ABDE,AAB
Beethoven,1213,7021,ABDE,AAB
Beethoven,1213,7022,ABCBDE,AAB
Beethoven,1213,7023,ABDE,AAB
Beethoven,1213,7024,ABCBDE,AAB
Beethoven,1213,7025,ABDE,AAB
Beethoven,1213,7026,ABCBDE,AAB
Beethoven,1213,7027,ABCBDE,AAB
Beethoven,1213,7028,ABCBDE,AAB
Beethoven,1213,7029,ABDE,AB
Beethoven,1213,7030,ABCBDE,AAB
Beethoven,1213,7031,ABDE,AB
Beethoven,1213,7032,ABDE,AB
Beethoven,1213,7033,ABCBDE,AAB
Beethoven,1213,7034,ABCBDE,AAB
Beethoven,1213,7035,ABDE,AAB
Beethoven,1213,7036,ABCBDE,AAB
Beethoven,1213,7037,ABDE,AAB
Beethoven,1213,7038,ABCBDE,AAB
