composer,composition_id,perf_id,structure,structure_correct
Beethoven,1182,6275,ABDE,AABB
Beethoven,1182,6276,ABDE,AABB
Beethoven,1182,6277,ABDE,AABB
Beethoven,1182,6278,ABDE,AABB
Beethoven,1182,6279,ABCBDE,AAB
Beethoven,1182,6280,ABCBDE,AAB
Beethoven,1182,6281,ABDE,AAB
Beethoven,1182,6282,ABDE,AAB
Beethoven,1182,6284,ABDE,AABB
Beethoven,1182,6285,ABDE,AABB
Beethoven,1182,6286,ABDE,AABB
Beethoven,1182,6287,ABDE,AABB
Beethoven,1182,6288,ABDE,AAB
Beethoven,1182,6289,ABDE,AAB
Beethoven,1182,6290,ABDE,AAB
Beethoven,1182,6291,ABCBDE,AAB
Beethoven,1182,6292,ABCBDE,AAB
Beethoven,1182,6293,ABCBDE,AAB
Beethoven,1182,6294,ABCBDE,AAB
Beethoven,1182,6295,ABDE,AAB
Beethoven,1182,6296,ABCBDE,AAB
Beethoven,1182,6297,ABCBDE,AAB
Beethoven,1182,6298,ABCBDE,AAB
Beethoven,1182,6299,ABCBDE,AAB
Beethoven,1182,6300,ABCBDE,AAB
