composer,composition_id,perf_id,structure,structure_correct
Beethoven,1211,6939,ABCBDE,ABBC
Beethoven,1211,6940,ABCBDE,ABBC
Beethoven,1211,6941,ABCBDE,ABBC
Beethoven,1211,6942,ABCBDE,ABBC
Beethoven,1211,6943,ABCBDE,ABBC
Beethoven,1211,6944,ABDE,ABBC
Beethoven,1211,6945,ABCBDE,ABBC
Beethoven,1211,6946,ABCBDE,ABBC
Beethoven,1211,6947,ABCBDE,ABBC
Beethoven,1211,6948,ABCBDE,ABBC
Beethoven,1211,6949,ABCBDE,ABBC
Beethoven,1211,6950,ABCBDE,ABBC
Beethoven,1211,6951,ABDE,ABBC
Beethoven,1211,6952,ABCBDE,ABBC
Beethoven,1211,6953,ABDE,ABBC
Beethoven,1211,6954,ABCBDE,ABBC
Beethoven,1211,6955,ABCBDE,ABBC
Beethoven,1211,6956,ABCBDE,ABBC
Beethoven,1211,6957,ABCBDE,ABBC
Beethoven,1211,6958,ABCBDE,ABBC
Beethoven,1211,6959,ABCBDE,ABBC
Beethoven,1211,6960,ABCBDE,ABBC
Beethoven,1211,6961,ABDE,ABBC
Beethoven,1211,6962,ABCBDE,ABBC
Beethoven,1211,6963,ABCBDE,ABBC
Beethoven,1211,6964,ABCBDE,ABBC
Beethoven,1211,6965,ABCBDE,ABBC
Beethoven,1211,6966,ABDE,ABBC
Beethoven,1211,6967,ABCBDE,ABBC
