composer,composition_id,perf_id,structure,structure_correct
Beethoven,1185,6344,ABBCAD,ABBCAD
Beethoven,1185,6345,ABBCAD,ABBCAD
Beethoven,1185,6346,ABBCAD,ABBCAD
Beethoven,1185,6348,ABBCAD,ABBCAD
Beethoven,1185,6350,ABCD,ABBCAD
Beethoven,1185,6351,ABBCAD,ABBCAD
Beethoven,1185,6353,ABBCAD,ABBCAD
Beethoven,1185,6356,ABCD,ABBCAD
Beethoven,1185,6358,ABCAD,ABBCAD
Beethoven,1185,6359,ABBCAD,ABBCAD
Beethoven,1185,6360,ABBCAD,ABBCAD
Beethoven,1185,6361,ABBCAD,ABBCAD
Beethoven,1185,6362,ABBCAD,ABBCAD
Beethoven,1185,6363,ABBCAD,ABBCAD
Beethoven,1185,6365,ABBCAD,ABBCAD
Beethoven,1185,6367,ABBCAD,ABBCAD
Beethoven,1185,6368,ABBCAD,ABBCAD
Beethoven,1185,6369,ABBCAD,ABBCAD
Beethoven,1185,6370,ABBCAD,ABBCAD
Beethoven,1185,6371,ABBCAD,ABBCAD
Beethoven,1185,6373,ABBCAD,ABBCAD
Beethoven,1185,6376,ABBCAD,ABBCAD
Beethoven,1185,6378,ABBCAD,ABBCAD
