composer,composition_id,perf_id,structure,structure_correct
Beethoven,1204,6770,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6771,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6772,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6773,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6774,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6775,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6776,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6777,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6778,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6779,AABCBDEFABC,AABBCCDAB
Beethoven,1204,6780,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6781,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6782,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6783,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6784,AABCBDEEFABC,AABBCCDAB
Beethoven,1204,6785,AABCBDEEFABC,AABBCCDAB
