composer,composition_id,perf_id,structure,structure_correct
Beethoven,1165,5811,AABBCAB,AABBCAB
Beethoven,1165,5812,AABBCAB,AABBCAB
Beethoven,1165,5813,AABBCAB,AABBCAB
Beethoven,1165,5814,AABBCAB,AABBCAB
Beethoven,1165,5815,AB,AABBCAB
Beethoven,1165,5816,AABBCAB,AABBCAB
Beethoven,1165,5817,AABBCAB,AABBCAB
Beethoven,1165,5818,AABCABB,AABBCAB
Beethoven,1165,5819,AB,AABBCAB
Beethoven,1165,5820,ABB,AABBCAB
Beethoven,1165,5821,AABBCAB,AABBCAB
Beethoven,1165,5822,AABBCAB,AABBCAB
Beethoven,1165,5823,AABCAAB,AABBCAB
Beethoven,1165,5824,AABBCAB,AABBCAB
Beethoven,1165,5825,AABBCAB,AABBCAB
Beethoven,1165,5826,AABCAAB,AABBCAB
Beethoven,1165,5827,AABBCAB,AABBCAB
Beethoven,1165,5828,AABBCAB,AABBCAB
Beethoven,1165,5829,AABBCAB,AABBCAB
Beethoven,1165,5830,AABBCAB,AABBCAB
Beethoven,1165,5831,AABBCAB,AABBCAB
Beethoven,1165,5832,AABBCAB,AABBCAB
Beethoven,1165,5833,AABBCAB,AABBCAB
Beethoven,1165,5834,AABBCAB,AABBCAB
Beethoven,1165,5835,AABBCAB,AABBCAB
Beethoven,1165,5836,AABBCAB,AABBCAB
Beethoven,1165,5837,AABBCAB,AABBCAB
Beethoven,1165,5838,AABBCAB,AABBCAB
Beethoven,1165,5839,AABBCAB,AABBCAB
Beethoven,1165,5840,AABBCAB,AABBCAB
Beethoven,1165,5841,AABBCAB,AABBCAB
Beethoven,1165,5842,AABBCAB,AABBCAB
